rank,mod_type,fll_bw,costas_bw,sym_bw,preamble_size,avg_ber,min_ber,avg_pdr,max_noise_tolerance,composite_score,tested_scenarios
71,QPSK,0.02,0.045,0.073,32,0.0,0.0,80.0,0.0,1798.4,1
72,QPSK,0.0628,0.045,0.097,32,0.0,0.0,80.0,0.0,1798.4,1
73,QPSK,0.05,0.11,0.069,32,0.0,0.0,80.0,0.0,1798.4,1
74,BPSK,0.02,0.02,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
75,QPSK,0.05,0.05,0.061,32,0.0,0.0,80.0,0.0,1798.4,1
76,QPSK,0.02,0.025,0.037,32,0.0,0.0,80.0,0.0,1798.4,1
77,BPSK,0.05,0.02,0.045,32,0.0,0.0,80.0,0.0,1798.4,1
78,BPSK,0.02,0.035,0.025,32,0.0,0.0,80.0,0.0,1798.4,1
79,QPSK,0.0314,0.06,0.037,32,0.0,0.0,80.0,0.0,1798.4,1
80,BPSK,0.0314,0.075,0.013,32,0.0,0.0,80.0,0.0,1798.4,1
81,QPSK,0.0628,0.115,0.101,32,0.0,0.0,80.0,0.0,1798.4,1
82,QPSK,0.0628,0.075,0.107,32,0.0,0.0,80.0,0.0,1798.4,1
83,BPSK,0.0628,0.025,0.011,32,0.0,0.0,80.0,0.0,1798.4,1
84,QPSK,0.02,0.055,0.129,32,0.0,0.0,80.0,0.0,1798.4,1
85,QPSK,0.0628,0.045,0.043,32,0.0,0.0,80.0,0.0,1798.4,1
86,QPSK,0.02,0.05,0.085,32,0.0,0.0,80.0,0.0,1798.4,1
87,QPSK,0.0314,0.105,0.037,32,0.0,0.0,80.0,0.0,1798.4,1
88,QPSK,0.05,0.045,0.139,32,0.0,0.0,80.0,0.0,1798.4,1
89,QPSK,0.0628,0.065,0.027,32,0.0,0.0,80.0,0.0,1798.4,1
90,BPSK,0.0314,0.02,0.049,32,0.0,0.0,80.0,0.0,1798.4,1
91,BPSK,0.0628,0.07,0.017,32,0.0,0.0,80.0,0.0,1798.4,1
92,QPSK,0.02,0.105,0.131,32,0.0,0.0,80.0,0.0,1798.4,1
93,QPSK,0.0628,0.055,0.121,32,0.0,0.0,80.0,0.0,1798.4,1
94,QPSK,0.02,0.07,0.079,32,0.0,0.0,80.0,0.0,1798.4,1
95,QPSK,0.0314,0.06,0.127,32,0.0,0.0,80.0,0.0,1798.4,1
96,QPSK,0.0314,0.035,0.049,32,0.0,0.0,80.0,0.0,1798.4,1
97,QPSK,0.0314,0.04,0.113,32,0.0,0.0,80.0,0.0,1798.4,1
98,QPSK,0.05,0.08,0.111,32,0.0,0.0,80.0,0.0,1798.4,1
99,BPSK,0.0314,0.115,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
100,BPSK,0.02,0.065,0.021,32,0.0,0.0,80.0,0.0,1798.4,1
101,QPSK,0.0314,0.09,0.123,32,0.0,0.0,80.0,0.0,1798.4,1
102,BPSK,0.0314,0.035,0.009,32,0.0,0.0,80.0,0.0,1798.4,1
103,QPSK,0.0314,0.03,0.109,32,0.0,0.0,80.0,0.0,1798.4,1
104,QPSK,0.0628,0.12,0.137,32,0.0,0.0,80.0,0.0,1798.4,1
105,QPSK,0.0314,0.04,0.091,32,0.0,0.0,80.0,0.0,1798.4,1
106,QPSK,0.0314,0.12,0.051,32,0.0,0.0,80.0,0.0,1798.4,1
107,BPSK,0.0628,0.065,0.019,32,0.0,0.0,80.0,0.0,1798.4,1
108,QPSK,0.0314,0.115,0.069,32,0.0,0.0,80.0,0.0,1798.4,1
109,QPSK,0.0314,0.085,0.039,32,0.0,0.0,80.0,0.0,1798.4,1
110,QPSK,0.02,0.025,0.043,32,0.0,0.0,80.0,0.0,1798.4,1
111,BPSK,0.0628,0.06,0.061,32,0.0,0.0,80.0,0.0,1798.4,1
112,QPSK,0.0314,0.04,0.071,32,0.0,0.0,80.0,0.0,1798.4,1
113,QPSK,0.0314,0.05,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
114,QPSK,0.0628,0.07,0.053,32,0.0,0.0,80.0,0.0,1798.4,1
115,BPSK,0.0314,0.035,0.019,32,0.0,0.0,80.0,0.0,1798.4,1
116,QPSK,0.0314,0.08,0.081,32,0.0,0.0,80.0,0.0,1798.4,1
117,QPSK,0.02,0.02,0.069,32,0.0,0.0,80.0,0.0,1798.4,1
118,QPSK,0.0628,0.065,0.071,32,0.0,0.0,80.0,0.0,1798.4,1
119,QPSK,0.02,0.11,0.037,32,0.0,0.0,80.0,0.0,1798.4,1
120,BPSK,0.0314,0.025,0.019,32,0.0,0.0,80.0,0.0,1798.4,1
121,QPSK,0.02,0.025,0.069,32,0.0,0.0,80.0,0.0,1798.4,1
122,QPSK,0.0314,0.065,0.031,32,0.0,0.0,80.0,0.0,1798.4,1
123,QPSK,0.0314,0.045,0.091,32,0.0,0.0,80.0,0.0,1798.4,1
124,QPSK,0.02,0.055,0.043,32,0.0,0.0,80.0,0.0,1798.4,1
125,QPSK,0.02,0.095,0.111,32,0.0,0.0,80.0,0.0,1798.4,1
126,QPSK,0.05,0.11,0.103,32,0.0,0.0,80.0,0.0,1798.4,1
127,QPSK,0.02,0.115,0.031,32,0.0,0.0,80.0,0.0,1798.4,1
128,QPSK,0.0314,0.085,0.091,32,0.0,0.0,80.0,0.0,1798.4,1
129,BPSK,0.02,0.085,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
130,BPSK,0.02,0.075,0.027,32,0.0,0.0,80.0,0.0,1798.4,1
