SweepType,NoiseVolt,FreqOffset,TimeOffset,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,BER,PDR,MatchedPkts,TotalPkts,ElapsedSec
sym_bw,0.0,0.0,1.0003,0.0314,0.0628,0.025,32,0.0,93.33333333333333,14,15,0.010830163955688477
sym_bw,0.0,0.0,1.0003,0.0314,0.0628,0.045,32,0.0,93.33333333333333,14,15,0.009484291076660156
sym_bw,0.0,0.0,1.0003,0.0314,0.0628,0.07,32,0.0,93.33333333333333,14,15,0.009730100631713867
sym_bw,0.0,0.0,1.0003,0.0314,0.0628,0.1,32,0.0,93.33333333333333,14,15,0.009537935256958008
sym_bw,0.0,0.0,1.0003,0.0314,0.0628,0.14,32,0.0,93.33333333333333,14,15,0.010178327560424805
preamble_size,0.05,0.012,1.0002,0.0314,0.0628,0.045,8,0.0033333333333333335,93.33333333333333,14,15,0.009229898452758789
preamble_size,0.05,0.012,1.0002,0.0314,0.0628,0.045,16,0.0033333333333333335,93.33333333333333,14,15,0.009795665740966797
preamble_size,0.05,0.012,1.0002,0.0314,0.0628,0.045,24,0.0033333333333333335,93.33333333333333,14,15,0.011071920394897461
preamble_size,0.05,0.012,1.0002,0.0314,0.0628,0.045,32,0.0033333333333333335,93.33333333333333,14,15,0.010254383087158203
preamble_size,0.05,0.012,1.0002,0.0314,0.0628,0.045,48,0.0033333333333333335,93.33333333333333,14,15,0.012928485870361328
preamble_size,0.05,0.012,1.0002,0.0314,0.0628,0.045,64,0.0033333333333333335,93.33333333333333,14,15,0.011453866958618164
