Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.01,0.03,0.025,48,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.05292105674743652
BPSK,0.01,0.03,0.025,48,0.45,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04559636116027832
BPSK,0.01,0.03,0.025,48,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.055945634841918945
BPSK,0.01,0.03,0.025,48,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04788041114807129
BPSK,0.01,0.03,0.025,48,0.45,0.015,0.9998,80.0,0.010000000000000002,8,10,0.057021379470825195
BPSK,0.01,0.03,0.025,48,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.046109676361083984
BPSK,0.01,0.03,0.045,16,0.0,-0.015,0.9998,80.0,0.1,8,10,0.04683709144592285
BPSK,0.01,0.03,0.045,16,0.0,-0.015,1.0002,80.0,0.1,8,10,0.04139518737792969
BPSK,0.01,0.03,0.045,16,0.0,0.0,0.9998,90.0,0.0,9,10,0.05249190330505371
BPSK,0.01,0.03,0.045,16,0.0,0.0,1.0002,90.0,0.0,9,10,0.07404088973999023
BPSK,0.01,0.03,0.045,16,0.0,0.015,0.9998,80.0,0.1,8,10,0.037920475006103516
BPSK,0.01,0.03,0.045,16,0.0,0.015,1.0002,80.0,0.1,8,10,0.04723381996154785
BPSK,0.01,0.03,0.045,16,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.04950881004333496
BPSK,0.01,0.03,0.045,16,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.03873872756958008
BPSK,0.01,0.03,0.045,16,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.053522586822509766
BPSK,0.01,0.03,0.045,16,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.03898906707763672
BPSK,0.01,0.03,0.045,16,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.03983569145202637
BPSK,0.01,0.03,0.045,16,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.055130720138549805
BPSK,0.01,0.03,0.045,16,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.0508575439453125
BPSK,0.01,0.03,0.045,16,0.45,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.048125505447387695
BPSK,0.01,0.03,0.045,16,0.45,0.0,0.9998,80.0,0.010000000000000002,8,10,0.04935097694396973
BPSK,0.01,0.03,0.045,16,0.45,0.0,1.0002,80.0,0.010000000000000002,8,10,0.04665803909301758
BPSK,0.01,0.03,0.045,16,0.45,0.015,0.9998,70.0,0.015,7,10,0.03865814208984375
BPSK,0.01,0.03,0.045,16,0.45,0.015,1.0002,70.0,0.015,7,10,0.040297508239746094
BPSK,0.01,0.03,0.045,32,0.0,-0.015,0.9998,80.0,0.1,8,10,0.04151511192321777
BPSK,0.01,0.03,0.045,32,0.0,-0.015,1.0002,80.0,0.1,8,10,0.052263736724853516
BPSK,0.01,0.03,0.045,32,0.0,0.0,0.9998,90.0,0.0,9,10,0.03875088691711426
BPSK,0.01,0.03,0.045,32,0.0,0.0,1.0002,90.0,0.0,9,10,0.046697139739990234
BPSK,0.01,0.03,0.045,32,0.0,0.015,0.9998,80.0,0.1,8,10,0.04705691337585449
BPSK,0.01,0.03,0.045,32,0.0,0.015,1.0002,80.0,0.1,8,10,0.03682732582092285
BPSK,0.01,0.03,0.045,32,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.05053091049194336
BPSK,0.01,0.03,0.045,32,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.07446694374084473
BPSK,0.01,0.03,0.045,32,0.2,0.0,0.9998,80.0,0.010000000000000002,8,10,0.0751032829284668
BPSK,0.01,0.03,0.045,32,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04678964614868164
BPSK,0.01,0.03,0.045,32,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.04730677604675293
BPSK,0.01,0.03,0.045,32,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.04055500030517578
BPSK,0.01,0.03,0.045,32,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.05451321601867676
BPSK,0.01,0.03,0.045,32,0.45,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.055214643478393555
BPSK,0.01,0.03,0.045,32,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.04555368423461914
BPSK,0.01,0.03,0.045,32,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04610395431518555
BPSK,0.01,0.03,0.045,32,0.45,0.015,0.9998,70.0,0.015,7,10,0.04594993591308594
BPSK,0.01,0.03,0.045,32,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.06203198432922363
BPSK,0.01,0.03,0.045,48,0.0,-0.015,0.9998,80.0,0.1,8,10,0.0690767765045166
BPSK,0.01,0.03,0.045,48,0.0,-0.015,1.0002,80.0,0.1,8,10,0.05048513412475586
BPSK,0.01,0.03,0.045,48,0.0,0.0,0.9998,90.0,0.0,9,10,0.05207633972167969
BPSK,0.01,0.03,0.045,48,0.0,0.0,1.0002,90.0,0.0,9,10,0.04880499839782715
BPSK,0.01,0.03,0.045,48,0.0,0.015,0.9998,80.0,0.1,8,10,0.050388336181640625
BPSK,0.01,0.03,0.045,48,0.0,0.015,1.0002,80.0,0.1,8,10,0.05564236640930176
BPSK,0.01,0.03,0.045,48,0.2,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.04244732856750488
BPSK,0.01,0.03,0.045,48,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04911947250366211
BPSK,0.01,0.03,0.045,48,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.04557919502258301
BPSK,0.01,0.03,0.045,48,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.042580604553222656
BPSK,0.01,0.03,0.045,48,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.04825234413146973
BPSK,0.01,0.03,0.045,48,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.053551673889160156
BPSK,0.01,0.03,0.045,48,0.45,-0.015,0.9998,80.0,0.010000000000000002,8,10,0.05574774742126465
BPSK,0.01,0.03,0.045,48,0.45,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.05185890197753906
