Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,Platform,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
QPSK,0.0314,0.0628,0.5,64,0.5,0.005,0.9992,hardware,30.0,0.017499999999999998,3,10,0.05097246170043945
QPSK,0.0314,0.0628,0.025,48,0.25,0.005,0.9999,software,90.0,0.0025000000000000005,9,10,0.06367301940917969
BPSK,0.0314,0.0628,0.25,48,0.08,0.005,0.9996,hardware,60.0,0.010000000000000002,6,10,0.06492161750793457
BPSK,0.0314,0.0628,0.01,24,0.02,0.005,1.0004,hardware,70.0,0.0075,7,10,0.07883596420288086
BPSK,0.0314,0.0628,0.025,48,0.18,0.005,1.0008,hardware,80.0,0.005000000000000001,8,10,0.0832662582397461
QPSK,0.0314,0.0628,0.5,64,0.18,0.005,0.9999,software,0.0,0.025,0,10,0.0518190860748291
QPSK,0.0314,0.0628,0.055,24,0.18,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.0501711368560791
QPSK,0.055,0.03,0.025,32,0.02,0.01,1.0,software,20.0,0.020000000000000004,2,10,0.049254417419433594
QPSK,0.25,0.0628,0.025,32,0.02,-0.03,1.0,software,0.0,0.025,0,10,0.0843961238861084
QPSK,0.0314,0.0628,0.055,32,0.0,0.005,0.9999,software,90.0,0.0,9,10,0.05337405204772949
QPSK,0.0314,0.0628,0.25,24,0.35,0.005,1.0004,software,80.0,0.005000000000000001,8,10,0.058157920837402344
BPSK,0.0314,0.0628,0.01,64,0.5,0.005,1.0,hardware,90.0,0.0025000000000000005,9,10,0.06053662300109863
BPSK,0.0314,0.0628,0.5,64,0.0,0.005,1.0008,hardware,0.0,0.5,0,10,0.07111477851867676
BPSK,0.0314,0.0628,0.025,32,0.08,0.005,1.0001,hardware,90.0,0.0025000000000000005,9,10,0.0829629898071289
QPSK,0.0314,0.0628,0.025,48,0.18,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.06125688552856445
QPSK,0.0314,0.0628,0.055,64,0.5,0.005,1.0,hardware,80.0,0.005000000000000001,8,10,0.09343743324279785
QPSK,0.1,0.1,0.025,32,0.02,-0.02,1.0,software,90.0,0.0025000000000000005,9,10,0.06311321258544922
QPSK,0.0314,0.0628,0.115,32,0.0,0.005,1.0,software,90.0,0.0,9,10,0.06261515617370605
